T_amb,P_pv,P_wind,P_load,Qdot_load
278.39,2122200.0,8755450.0,12989810.11,7400543.62
277.77,4067550.0,6140700.0,12584365.96,7211032.15
277.44,7215480.0,6140700.0,12696250.31,7321580.66
277.39,9479150.0,4150300.0,11498605.0,7450518.3
277.33,7533810.0,8755450.0,9142029.82,7584716.01
277.8,7922880.0,8755450.0,7924852.94,7731258.03
277.87,5057910.0,4150300.0,9257053.53,7901810.71
277.29,1344060.0,2692450.0,7747807.04,8234043.68
276.84,35370.0,0.0,5031517.04,9188250.36
276.64,0.0,1483650.0,2627016.98,11407601.83
276.19,0.0,581950.0,1593641.57,14472947.17
276.09,0.0,6140700.0,1134570.04,16100186.41
275.91,0.0,4150300.0,687062.46,14698880.08
275.8,0.0,4150300.0,889163.62,11807380.01
275.91,0.0,16694650.0,600034.68,9747588.15
275.98,0.0,11890150.0,417822.75,8719076.24
276.0,0.0,6140700.0,794913.33,8680616.91
276.21,0.0,16694650.0,612174.86,8627288.14
276.23,0.0,6140700.0,719906.51,8613882.11
275.95,0.0,8755450.0,721138.41,8922294.07
275.88,0.0,4150300.0,798817.66,11020522.28
275.85,0.0,8755450.0,864386.53,15190181.39
275.84,0.0,8755450.0,3271350.39,15190181.39
276.41,530550.0,16694650.0,10511296.69,11015027.8
277.5,2122200.0,8755450.0,12647937.97,8919656.72
277.74,4067550.0,6140700.0,12555376.57,8616739.24
278.23,7215480.0,6140700.0,12385135.93,8610365.27
279.14,9479150.0,4150300.0,11477613.02,8629633.14
279.77,7533810.0,8755450.0,8929447.58,8655040.2
279.14,7922880.0,8755450.0,8103170.47,8687736.65
278.03,5057910.0,4150300.0,9065920.25,8747960.23
277.25,1344060.0,2692450.0,7694209.45,8968984.98
276.76,35370.0,0.0,5479968.41,9801214.25
276.64,0.0,1483650.0,2821716.8,11906060.82
276.52,0.0,581950.0,1841581.33,14874263.79
276.0,0.0,6140700.0,1367041.5,16442382.46
275.5,0.0,4150300.0,542532.77,15045691.49
275.36,0.0,4150300.0,622616.21,12218147.14
275.02,0.0,16694650.0,709485.03,10216596.74
274.83,0.0,11890150.0,417822.75,9260172.38
274.62,0.0,6140700.0,794913.33,9327426.79
274.67,0.0,16694650.0,612174.86,9407943.49
274.57,0.0,6140700.0,719906.51,9495416.06
274.38,0.0,8755450.0,721138.41,9870860.64
273.86,0.0,4150300.0,798817.66,12025132.52
273.25,0.0,8755450.0,864386.53,16250835.31
272.23,0.0,8755450.0,3271350.39,16315889.92
272.22,530550.0,16694650.0,10511296.69,12219637.02
273.7,2122200.0,8755450.0,12647937.97,10187782.1
275.06,4067550.0,6140700.0,12555376.57,9938710.49
275.74,7215480.0,6140700.0,12385135.93,9991017.54
276.08,9479150.0,4150300.0,11477613.02,10052043.44
276.12,7533810.0,8755450.0,8929447.58,10105802.0
275.89,7922880.0,8755450.0,8103170.47,10134102.87
275.14,5057910.0,4150300.0,9065920.25,10182897.94
274.66,1344060.0,2692450.0,7694209.45,10387878.81
274.13,35370.0,0.0,5479968.41,11209778.47
273.68,0.0,1483650.0,2821716.8,13285833.98
273.26,0.0,581950.0,1841581.33,16197114.17
273.02,0.0,6140700.0,1367041.5,17674903.63
272.64,0.0,4150300.0,542532.77,16182828.52
272.25,0.0,4150300.0,622616.21,13287592.21
272.23,0.0,16694650.0,709485.03,11264943.02
272.39,0.0,6140700.0,651953.31,10295331.91
273.44,0.0,8755450.0,783468.58,10332696.37
273.65,0.0,1483650.0,723175.02,10367059.46
273.64,0.0,4150300.0,622745.36,10419587.15
273.28,0.0,4150300.0,523885.38,10763383.55
